Rk,Jugador,Posicion,Edad,Codigo de equipo,Partidos,Titulares,Minutos jugados,Triples logrados,Triples totales,Tiros de dos puntos logrados,Tiros de dos puntos totales,Tiros libres logrados,Tiros libres totales,Rebotes ofensivos,Rebotes defensivos,Asistencias,Robos,Bloqueos,Perdidas,Faltas personales,Puntos
139,Spencer Dinwiddie,PG,28,DAL,67,51,1980,112,330,194,405,195,252,45,234,346,44,13,104,150,919
140,Donte DiVincenzo,SG,25,SAC,42,1,1006,74,218,44,118,70,83,40,130,118,48,8,72,69,380
141,Luka Don?i?,PG,22,DAL,65,65,2301,201,569,440,834,364,489,56,537,568,75,36,292,145,1847
142,Luguentz Dort,SF,22,OKC,51,51,1665,130,391,163,335,161,191,38,174,88,46,18,88,149,877
143,Ayo Dosunmu,SG,22,CHI,77,40,2110,70,186,208,349,53,78,27,187,256,60,29,108,182,679
144,Damyean Dotson,SG,27,NYK,2,0,21,0,1,2,3,0,0,0,2,1,0,0,0,0,4
145,Devon Dotson,PG,22,CHI,11,0,85,2,9,9,14,5,9,1,8,15,1,0,5,11,29
146,Sekou Doumbouya,PF,21,LAL,2,0,16,1,2,4,6,3,4,2,4,0,3,2,2,1,14
147,Jeff Dowtin,PG,24,ORL,9,0,108,1,9,7,17,2,2,8,10,10,5,1,5,5,19
148,PJ Dozier,SG,25,DEN,18,0,340,15,48,21,51,10,13,14,49,29,11,6,13,33,97
149,Goran Dragi?,PG,35,BRK,21,8,498,16,63,41,88,27,33,13,52,86,19,4,34,45,157
150,Andre Drummond,C,28,BRK,73,36,1437,0,3,247,430,86,164,229,451,131,78,68,115,192,580
151,Chris Duarte,SG,24,IND,55,39,1541,94,255,174,366,90,112,41,185,114,56,10,90,95,720
152,David Duke Jr.,PG,22,BRK,22,7,341,9,37,30,71,17,21,30,37,17,14,7,9,36,104
153,Kris Dunn,PG,27,POR,14,3,336,1,11,43,91,17,18,9,40,79,23,3,32,38,106
154,Kevin Durant,PF,33,BRK,55,55,2047,115,300,463,815,372,409,29,378,351,48,52,191,113,1643
155,Jaime Echenique,C,24,WAS,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Anthony Edwards,SG,20,MIN,72,72,2466,215,602,334,643,220,280,62,281,275,105,46,190,164,1533
157,Carsen Edwards,SG,23,DET,4,0,79,4,16,5,14,1,1,2,4,14,2,0,5,4,23
158,Kessler Edwards,SF,21,BRK,48,23,987,48,136,62,131,16,19,44,128,31,29,24,42,85,284
159,Rob Edwards,SG,25,OKC,2,0,11,1,4,0,0,0,0,0,3,0,0,0,1,0,3
160,CJ Elleby,SF,21,POR,58,28,1174,37,126,84,182,60,84,66,161,87,35,19,56,116,339
161,Wayne Ellington,SG,34,LAL,43,9,810,82,211,16,26,9,11,10,67,30,23,5,19,42,287
162,Joel Embiid,C,27,PHI,68,68,2297,93,251,573,1083,654,803,146,650,284,77,99,214,181,2079
163,James Ennis III,SF,31,DEN,7,0,56,3,8,8,16,4,5,5,7,3,2,2,2,5,29
164,Drew Eubanks,C,24,POR,71,31,1245,5,23,216,348,99,130,130,252,85,31,40,81,122,546
165,Tacko Fall,C,26,CLE,11,1,59,0,0,5,12,2,7,7,16,2,0,6,3,3,12
166,Derrick Favors,C,30,OKC,39,18,653,2,16,92,166,16,25,58,126,25,17,12,9,62,206
167,Bruno Fernando,C,23,HOU,30,0,152,1,2,35,53,15,24,18,37,7,1,11,14,24,88
168,Dorian Finney-Smith,PF,28,DAL,80,80,2644,172,435,154,257,56,83,122,253,150,88,39,80,183,880
169,Malik Fitts,PF,24,BOS,15,0,63,5,10,3,9,0,0,2,15,5,0,0,2,4,21
170,Malachi Flynn,PG,23,TOR,44,5,537,30,90,42,93,15,24,10,53,70,20,4,13,45,189
171,Bryn Forbes,SG,28,DEN,75,2,1286,122,295,109,244,79,87,10,83,75,25,5,56,95,663
172,Aleem Ford,SF,24,ORL,5,0,74,2,15,4,5,0,0,2,13,2,1,0,4,7,14
173,Trent Forrest,PG,23,UTA,60,6,765,5,27,71,128,38,48,23,76,106,30,6,48,43,195
174,Evan Fournier,SG,29,NYK,80,80,2358,241,619,161,346,80,113,34,176,171,79,20,105,180,1125
175,De'Aaron Fox,PG,24,SAC,59,59,2083,74,249,442,843,261,348,25,206,330,68,25,168,172,1367
176,Melvin Frazier,SG,25,OKC,3,0,120,1,21,12,27,5,7,5,8,1,1,0,3,8,32
177,Tim Frazier,PG,31,CLE,12,3,208,6,17,8,28,5,9,5,14,34,3,1,15,27,39
178,Enes Freedom,C,29,BOS,35,1,411,2,5,49,92,24,28,61,99,8,5,14,20,42,128
179,Markelle Fultz,PG,23,ORL,18,3,360,4,17,79,158,25,31,4,45,99,20,5,40,22,195
180,Wenyen Gabriel,PF,24,LAL,26,5,358,8,28,46,82,25,42,39,58,14,5,11,16,68,141
181,Daniel Gafford,C,23,WAS,72,53,1444,0,1,285,410,107,153,155,252,68,30,99,65,170,677
182,Danilo Gallinari,PF,33,ATL,66,18,1672,112,294,147,303,141,156,35,273,101,28,12,38,93,771
183,Langston Galloway,SG,30,MIL,7,0,107,2,16,4,10,0,0,3,15,12,1,0,6,7,14
184,Darius Garland,PG,22,CLE,68,68,2430,174,454,368,719,215,241,39,185,583,89,7,248,115,1473
185,Marcus Garrett,SG,23,MIA,12,0,128,1,4,4,17,2,5,9,14,7,5,3,2,16,13
186,Usman Garuba,PF,19,HOU,24,2,239,5,20,14,24,5,7,21,62,17,10,11,6,28,48
187,Luka Garza,C,23,DET,32,5,389,16,49,50,98,38,61,58,42,20,9,6,18,55,186
188,Rudy Gay,PF,35,UTA,55,1,1038,70,203,87,176,62,79,55,187,56,25,19,47,95,446
189,Paul George,SF,31,LAC,31,31,1077,91,257,177,379,127,148,12,201,176,67,13,126,74,754
190,Taj Gibson,C,36,NYK,52,4,946,15,38,71,128,42,52,88,141,32,22,40,27,137,229
191,Josh Giddey,SG,19,OKC,54,54,1700,56,213,225,457,56,79,98,323,345,51,20,171,88,674
192,Shai Gilgeous-Alexander,PG,23,OKC,56,56,1942,89,297,388,755,328,405,37,241,331,71,46,154,142,1371
